Grade,Strand,Anchor Standard,Code,Benchmark
8,5. Ethnic Studies,24. Resistance: Describe how individuals and communities have fought for freedom and liberation against systemic and coordinated exercises of power locally and globally. Identify strategies or times that have resulted in lasting change. Organize with others to engage in activities that could further the rights and dignity of all.,8.5.24.1,"Examine the contributions immigrants in the United States have made on political ideas, agricultural developments, technological advancements and cultural traditions."
8,5. Ethnic Studies,25. Ways of Knowing and Methodologies: Use ethnic and Indigenous studies methods and sources in order to understand the roots of contemporary systems of oppression and apply lessons from the past that could eliminate historical and contemporary injustices.,8.5.25.1,"Describe how groups are reviving and maintaining their traditional cultures, identities and distinctiveness in the context of increasing globalization."
9,1. Citizenship and Government,1. Civic Skills: Apply civic reasoning and demonstrate civic skills for the purpose of informed and engaged lifelong civic participation.,9.1.1.1,"Demonstrate civic skills that enable people to be informed on current issues in order to monitor and influence state, local tribal, national or international affairs."
9,1. Citizenship and Government,1. Civic Skills: Apply civic reasoning and demonstrate civic skills for the purpose of informed and engaged lifelong civic participation.,9.1.1.2,Demonstrate the skills necessary to participate in the election process and evaluate how access to voting is impacted by law and application of law.
9,1. Citizenship and Government,1. Civic Skills: Apply civic reasoning and demonstrate civic skills for the purpose of informed and engaged lifelong civic participation.,9.1.1.3,"Curate and evaluate various sources of information and forms of political persuasion, including digital, for validity, accuracy, ideology, emotional appeals, bias and prejudice."
9,1. Citizenship and Government,1. Civic Skills: Apply civic reasoning and demonstrate civic skills for the purpose of informed and engaged lifelong civic participation.,9.1.1.4,Analyze how means of civic engagement are used to influence the American political system at all levels.
9,1. Citizenship and Government,"2. Democratic Values and Principles: Explain democratic values and principles that guide governments, societies and communities. Analyze the tensions within the United States constitutional government.",9.1.2.1,"Analyze the foundational ideas of the United States government embedded in founding era documents: natural rights philosophy, social contract, civic virtue, popular sovereignty, constitutionalism, representative democracy, political factions, federalism and individual rights."
9,1. Citizenship and Government,"2. Democratic Values and Principles: Explain democratic values and principles that guide governments, societies and communities. Analyze the tensions within the United States constitutional government.",9.1.2.2,Explain the significance of democratic values and principles to well-functioning democratic processes and elections.
9,1. Citizenship and Government,"2. Democratic Values and Principles: Explain democratic values and principles that guide governments, societies and communities. Analyze the tensions within the United States constitutional government.",9.1.2.3,"Analyze current tensions between the government's dual role of protecting individual rights and promoting the general welfare, the struggle between majority rule and minority rights, and the tension between liberty and equality at all levels."
9,1. Citizenship and Government,"3. Rights and Responsibilities: Explain and evaluate rights, duties and responsibilities in democratic society.",9.1.3.1,"Compare rights in the U.S. Constitution and the Bill of Rights and subsequent amendments, the rights in the Constitution of the State of Minnesota, and the Universal Declaration of Human Rights."
9,1. Citizenship and Government,"3. Rights and Responsibilities: Explain and evaluate rights, duties and responsibilities in democratic society.",9.1.3.2,Explain the scope and limits of rights protected by the First and Second Amendments. Explain changes created by legislative action and court interpretation.
9,1. Citizenship and Government,"3. Rights and Responsibilities: Explain and evaluate rights, duties and responsibilities in democratic society.",9.1.3.3,Explain the scope and limits of rights of the accused pretrial under the Fourth and Fifth Amendments. Explain changes created by legislative action and court interpretation.
9,1. Citizenship and Government,"3. Rights and Responsibilities: Explain and evaluate rights, duties and responsibilities in democratic society.",9.1.3.4,Explain the scope and limits of rights of the accused during trial and punishment under the Sixth and Eighth Amendments. Explain changes created by legislative action and court interpretation.
9,1. Citizenship and Government,"3. Rights and Responsibilities: Explain and evaluate rights, duties and responsibilities in democratic society.",9.1.3.5,Evaluate the current and historical interpretations of the principles of due process and equal protection of the law in the 14th Amendment. Analyze evolving civil rights in legislative action and court interpretation.
9,1. Citizenship and Government,"3. Rights and Responsibilities: Explain and evaluate rights, duties and responsibilities in democratic society.",9.1.3.6,Explain the responsibilities and duties for all individuals in a republic.
9,1. Citizenship and Government,"3. Rights and Responsibilities: Explain and evaluate rights, duties and responsibilities in democratic society.",9.1.3.7,"Explain how citizenship processes, requirements and duties are established by law. Evaluate the struggle for citizenship since the founding period."
9,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",9.1.4.1,"Evaluate federalism and the provisions of the U.S. Constitution, which delegate to the federal government the powers necessary to fulfill the purposes for which it was established. Distinguish between those powers and the powers retained by the people and the states."
9,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",9.1.4.2,"Analyze the purposes, organization, functions and processes of the legislative branch as enumerated in Article 1 of the U.S. Constitution."
9,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",9.1.4.3,"Analyze the purposes, organization, functions and processes of the executive branch as enumerated in Article 2 of the U.S. Constitution."
9,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",9.1.4.4,"Analyze the purposes, organization, functions and processes of the judicial branch as enumerated in Article 3 of the U.S. Constitution."
9,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",9.1.4.5,Analyze how the United States political system is shaped by elections and the election process and procedures involved in voting.
9,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",9.1.4.6,"Describe the purposes, types and sources of laws and rules. Evaluate their impact."
9,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",9.1.4.7,Explain the powers and operations of the State of Minnesota government as defined in its constitution and its relationship with the federal government and Tribal governments.
9,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",9.1.4.8,Explain the powers and operations of local government in Minnesota.
9,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",9.1.4.9,"Compare and contrast the budgets of the United States and Minnesota governments, describing the major sources of revenue and categories of spending for each."
9,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",9.1.4.10,"Explain how individuals, corporations, cooperatives, labor, civic groups and/or other groups influence United States foreign policy."
9,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",9.1.4.11,Explain the role of international law in world affairs. Evaluate the impact of the participation of nation states in international organizations.
9,1. Citizenship and Government,5. Public Policy: Analyze how public policy is shaped by governmental and non-governmental institutions. Analyze how people and communities take action to solve problems and shape public policy.,9.1.5.1,Analyze the impact of political parties on elections and public policy formation.
9,1. Citizenship and Government,5. Public Policy: Analyze how public policy is shaped by governmental and non-governmental institutions. Analyze how people and communities take action to solve problems and shape public policy.,9.1.5.2,"Analyze the role of interest groups, various types of media and public opinion on the political process and public policy formation."
9,1. Citizenship and Government,5. Public Policy: Analyze how public policy is shaped by governmental and non-governmental institutions. Analyze how people and communities take action to solve problems and shape public policy.,9.1.5.3,"Examine a public policy issue by defining the problem, developing alternative courses of action, evaluating the consequences of each alternative, selecting a course of action, and designing a plan to implement the action and resolve the problem."
9,1. Citizenship and Government,"6. Tribal Nations: Evaluate the unique political status, trust relationships and governing structures of sovereign Tribal Nations and the United States.",9.1.6.1,Evaluate the unique political status of Tribal Nations in relation to the United States.
9,1. Citizenship and Government,"6. Tribal Nations: Evaluate the unique political status, trust relationships and governing structures of sovereign Tribal Nations and the United States.",9.1.6.2,"Compare and contrast trust relationships between Tribal Nations and Minnesota's state and local governments, United States government and governments of other nations."
9,1. Citizenship and Government,"6. Tribal Nations: Evaluate the unique political status, trust relationships and governing structures of sovereign Tribal Nations and the United States.",9.1.6.3,Compare and contrast governing structures of Tribal Nations within Minnesota and the United States.
9,1. Citizenship and Government,"6. Tribal Nations: Evaluate the unique political status, trust relationships and governing structures of sovereign Tribal Nations and the United States.",9.1.6.4,"Examine contemporary challenges and successes regarding Tribal Nations and the United States government (local, state, federal)."
9,2. Economics,7. Economic Inquiry: Use economic models and reasoning and data analysis to construct an argument and propose a solution related to an economic question. Evaluate the impact of the proposed solution on various communities that would be affected.,9.2.7.1,Use economic analysis to explore an economic question.
9,2. Economics,"8. Fundamental Economic Concepts: Analyze how scarcity and artificial shortages force individuals, organizations, communities, and governments to make choices and incur opportunity costs. Analyze how the decisions of individuals, organizations, communities, and governments affect economic equity and efficiency.",9.2.8.1,"Describe the opportunity cost of a choice and analyze the consequences of a specific choice, both intended and unintended."
9,2. Economics,"8. Fundamental Economic Concepts: Analyze how scarcity and artificial shortages force individuals, organizations, communities, and governments to make choices and incur opportunity costs. Analyze how the decisions of individuals, organizations, communities, and governments affect economic equity and efficiency.",9.2.8.2,Explain how the availability of and access to productive resources and technology limits the production of goods and services.
9,2. Economics,"8. Fundamental Economic Concepts: Analyze how scarcity and artificial shortages force individuals, organizations, communities, and governments to make choices and incur opportunity costs. Analyze how the decisions of individuals, organizations, communities, and governments affect economic equity and efficiency.",9.2.8.3,"Compare and contrast the characteristics of traditional, command (planned), market-based and mixed economic systems. Demonstrate how most economies are mixed economies with varying degrees of government involvement."
9,2. Economics,"8. Fundamental Economic Concepts: Analyze how scarcity and artificial shortages force individuals, organizations, communities, and governments to make choices and incur opportunity costs. Analyze how the decisions of individuals, organizations, communities, and governments affect economic equity and efficiency.",9.2.8.4,"Define broad long-run economic goals, and describe the trade-offs that exist between them; evaluate how different economic systems prioritize these goals, and evaluate the intended and unintended consequences."
9,2. Economics,"8. Fundamental Economic Concepts: Analyze how scarcity and artificial shortages force individuals, organizations, communities, and governments to make choices and incur opportunity costs. Analyze how the decisions of individuals, organizations, communities, and governments affect economic equity and efficiency.",9.2.8.5,"Identify measures of income distribution, wealth distribution, causes of income inequality, and poverty. Explain how these affect, and are affected by, the economy. Evaluate the effectiveness of, and incentives created by, government income redistribution programs."
9,2. Economics,"9. Personal Finance: Apply economic concepts and models to develop individual and collective financial goals and strategies for achieving these goals, taking into consideration historical and contemporary conditions that either inhibit or advance the creation of individual and generational wealth.",9.2.9.1,Analyze how individual or household income is determined by a variety of individual and social factors.
9,2. Economics,"9. Personal Finance: Apply economic concepts and models to develop individual and collective financial goals and strategies for achieving these goals, taking into consideration historical and contemporary conditions that either inhibit or advance the creation of individual and generational wealth.",9.2.9.2,"Establish personal financial goals. Create a financial plan, considering budgeting and asset building, to meet those goals. Determine the nature of the barriers the individual confronts. Determine ways to track the success of the plan."
9,2. Economics,"9. Personal Finance: Apply economic concepts and models to develop individual and collective financial goals and strategies for achieving these goals, taking into consideration historical and contemporary conditions that either inhibit or advance the creation of individual and generational wealth.",9.2.9.3,"Evaluate how various household assets of property, housing, stocks, bonds, savings accounts and monetizing creative enterprises can generate income, considering risk, return and time horizon."
9,2. Economics,"9. Personal Finance: Apply economic concepts and models to develop individual and collective financial goals and strategies for achieving these goals, taking into consideration historical and contemporary conditions that either inhibit or advance the creation of individual and generational wealth.",9.2.9.4,"Evaluate the benefits and costs of credit. Explain how the financial industry assesses one's ability to manage credit and how this affects one's ability to borrow, rent, get a job and achieve other financial goals."
9,2. Economics,"9. Personal Finance: Apply economic concepts and models to develop individual and collective financial goals and strategies for achieving these goals, taking into consideration historical and contemporary conditions that either inhibit or advance the creation of individual and generational wealth.",9.2.9.5,"Explain the pricing, sales, advertising and other marketing strategies used to sell products from a consumer perspective."
9,2. Economics,"10. Microeconomics: Explain and evaluate how resources are used and how goods and services are distributed within different economic systems. Analyze how incentives influence the decisions of consumers, producers, and governments. Evaluate the intended and unintended consequences of these decisions from multiple perspectives.",9.2.10.1,"Use economic models to explain how resources, money, and goods and services are exchanged in an economy."
9,2. Economics,"10. Microeconomics: Explain and evaluate how resources are used and how goods and services are distributed within different economic systems. Analyze how incentives influence the decisions of consumers, producers, and governments. Evaluate the intended and unintended consequences of these decisions from multiple perspectives.",9.2.10.2,Graph market demand and explain that market demand is based on each buyer's willingness and ability to pay and the number of buyers in the market. Analyze the effect of factors that can change demand.
9,2. Economics,"10. Microeconomics: Explain and evaluate how resources are used and how goods and services are distributed within different economic systems. Analyze how incentives influence the decisions of consumers, producers, and governments. Evaluate the intended and unintended consequences of these decisions from multiple perspectives.",9.2.10.3,Graph market supply and explain that market supply is based on each seller's cost and the number of sellers in the market. Analyze the effect of factors that can change supply.
9,2. Economics,"10. Microeconomics: Explain and evaluate how resources are used and how goods and services are distributed within different economic systems. Analyze how incentives influence the decisions of consumers, producers, and governments. Evaluate the intended and unintended consequences of these decisions from multiple perspectives.",9.2.10.4,Use the market model (supply and demand) to analyze how the interaction of individual buyers and sellers affects equilibrium price and quantity and how shortages and surpluses affect prices.
9,2. Economics,"10. Microeconomics: Explain and evaluate how resources are used and how goods and services are distributed within different economic systems. Analyze how incentives influence the decisions of consumers, producers, and governments. Evaluate the intended and unintended consequences of these decisions from multiple perspectives.",9.2.10.5,Explain how changes (shifts) in the demand and supply of an item result in changes in its market price and quantity. Explain how these shifts can lead to changes in prices and quantities in other markets.
9,2. Economics,"10. Microeconomics: Explain and evaluate how resources are used and how goods and services are distributed within different economic systems. Analyze how incentives influence the decisions of consumers, producers, and governments. Evaluate the intended and unintended consequences of these decisions from multiple perspectives.",9.2.10.6,Compare and contrast characteristics of various market structures.
9,2. Economics,"10. Microeconomics: Explain and evaluate how resources are used and how goods and services are distributed within different economic systems. Analyze how incentives influence the decisions of consumers, producers, and governments. Evaluate the intended and unintended consequences of these decisions from multiple perspectives.",9.2.10.7,"Analyze the impact of various market structures on long-run profit, price, and production and efficiency in a market. Explain how market power can affect consumers."
9,2. Economics,"10. Microeconomics: Explain and evaluate how resources are used and how goods and services are distributed within different economic systems. Analyze how incentives influence the decisions of consumers, producers, and governments. Evaluate the intended and unintended consequences of these decisions from multiple perspectives.",9.2.10.8,Analyze the causes of market failures due to lack of competition and lack of perfect information and barriers to resource mobility. Evaluate potential remedies.
9,2. Economics,"10. Microeconomics: Explain and evaluate how resources are used and how goods and services are distributed within different economic systems. Analyze how incentives influence the decisions of consumers, producers, and governments. Evaluate the intended and unintended consequences of these decisions from multiple perspectives.",9.2.10.9,Analyze the causes of market failures due to externalities and public goods and common resources. Evaluate potential remedies.
9,2. Economics,11. Macroeconomics: Measure and evaluate the well-being of nations and communities using a variety of indicators. Explain the causes of economic ups and downs. Evaluate how government actions affect a nation's economy and individuals' well-being within an economy.,9.2.11.1,Measure full employment in terms of the unemployment rate and various types of unemployment. Analyze past and recent data to describe factors that impact the long-run growth of jobs in an economy.
9,2. Economics,11. Macroeconomics: Measure and evaluate the well-being of nations and communities using a variety of indicators. Explain the causes of economic ups and downs. Evaluate how government actions affect a nation's economy and individuals' well-being within an economy.,9.2.11.2,"Measure inflation in terms of a percentage change in a price index. Analyze past and recent data to explain how the money supply is related to long-run inflation and how inflation affects buyers, sellers, borrowers and lenders."
9,2. Economics,11. Macroeconomics: Measure and evaluate the well-being of nations and communities using a variety of indicators. Explain the causes of economic ups and downs. Evaluate how government actions affect a nation's economy and individuals' well-being within an economy.,9.2.11.3,Evaluate economic growth using a variety of indicators. Analyze past and recent data to identify factors that promote or hinder long-run economic growth and its sustainability.
9,2. Economics,11. Macroeconomics: Measure and evaluate the well-being of nations and communities using a variety of indicators. Explain the causes of economic ups and downs. Evaluate how government actions affect a nation's economy and individuals' well-being within an economy.,9.2.11.4,"Graph short-run aggregate demand and aggregate supply to describe change in output, employment and the price level."
9,2. Economics,11. Macroeconomics: Measure and evaluate the well-being of nations and communities using a variety of indicators. Explain the causes of economic ups and downs. Evaluate how government actions affect a nation's economy and individuals' well-being within an economy.,9.2.11.5,"Analyze and evaluate how various government fiscal policies are likely to impact overall output, employment, the price level and the national deficit/debt."
9,2. Economics,11. Macroeconomics: Measure and evaluate the well-being of nations and communities using a variety of indicators. Explain the causes of economic ups and downs. Evaluate how government actions affect a nation's economy and individuals' well-being within an economy.,9.2.11.6,"Compare and contrast how various monetary policies of the Federal Reserve are implemented. Predict how these policies are likely to impact overall output, employment and the price level."
9,2. Economics,11. Macroeconomics: Measure and evaluate the well-being of nations and communities using a variety of indicators. Explain the causes of economic ups and downs. Evaluate how government actions affect a nation's economy and individuals' well-being within an economy.,9.2.11.7,"Explain interest rates and how interest rates are determined. Explain how financial institutions (banks and credit unions) make it possible for businesses to borrow and spend on new capital investment (machinery, tools, equipment) and for households to borrow and spend on purchases."
9,2. Economics,12. Global and International: Explain why people trade and why nations encourage or limit trade. Analyze the costs and benefits of international trade and globalization on communities and the environment.,9.2.12.1,"Apply the principles of absolute and comparative advantage to explain the increase in world production. Identify the situations in which groups could benefit or lose with free-trade treaties, trading blocs and trade barriers."
9,2. Economics,12. Global and International: Explain why people trade and why nations encourage or limit trade. Analyze the costs and benefits of international trade and globalization on communities and the environment.,9.2.12.2,"Explain how the demand and supply (foreign exchange) of currencies determines exchange rates and, in turn, affects trade."
9,3. Geography,"13. Geospatial Skills and Inquiry: Apply geographic tools, including geospatial technologies, and geographic inquiry to solve spatial problems.",9.3.13.1,"Create tables, graphs, charts, diagrams and various kinds of maps using geospatial technologies to depict the geographic implications of current world events or to solve geographic problems."
9,3. Geography,"13. Geospatial Skills and Inquiry: Apply geographic tools, including geospatial technologies, and geographic inquiry to solve spatial problems.",9.3.13.2,"Use geospatial technologies and cultural perspectives to engage in the geographic inquiry process (ask, acquire, analyze, answer, act) to solve spatial problems and plan for the future."
9,3. Geography,"14. Places and Regions: Describe places and regions, explaining how they are influenced by power structures.",9.3.14.1,"Apply geographic models to explain the location of economic activities, land use patterns and resources from a local to a global perspective. Critique these models to investigate (understand) how they were influenced by power or analyze the models through a critical lens."
9,3. Geography,"14. Places and Regions: Describe places and regions, explaining how they are influenced by power structures.",9.3.14.2,Identify the primary factors influencing the regional pattern of economic activities from a local to a global perspective.
9,3. Geography,"14. Places and Regions: Describe places and regions, explaining how they are influenced by power structures.",9.3.14.3,Describe patterns of production and consumption of agricultural commodities that are traded among nations.
9,3. Geography,"15. Human Systems: Analyze patterns of movement and interconnectedness within and between cultural, economic and political systems from a local to global scale.",9.3.15.1,Compare and describe the spatial distribution of significant cultural and/or ethnic groups in the United States and the world and how these patterns are changing.
9,3. Geography,"15. Human Systems: Analyze patterns of movement and interconnectedness within and between cultural, economic and political systems from a local to global scale.",9.3.15.2,"Compare and contrast the population characteristics of places at a range of scales using population pyramids, birth and death rates, and other key demographic variables in major world regions. (Demographic transition models)"
9,3. Geography,"15. Human Systems: Analyze patterns of movement and interconnectedness within and between cultural, economic and political systems from a local to global scale.",9.3.15.3,"Explain migration patterns, including forced migration and displacement, in the modern era at a range of scales from local to global."
9,3. Geography,"15. Human Systems: Analyze patterns of movement and interconnectedness within and between cultural, economic and political systems from a local to global scale.",9.3.15.4,Analyze the factors that influence the growth and spatial distribution of cities in the United States and the world.
9,3. Geography,"15. Human Systems: Analyze patterns of movement and interconnectedness within and between cultural, economic and political systems from a local to global scale.",9.3.15.5,Analyze how global capital and technologies were used to shape the global wealth distribution and the legacies of subordinate and dominant powers that have existed in the world for the last seventy years.
9,3. Geography,"15. Human Systems: Analyze patterns of movement and interconnectedness within and between cultural, economic and political systems from a local to global scale.",9.3.15.6,Explain the spread of culture using the concept of diffusion and diffusion models.
9,3. Geography,"15. Human Systems: Analyze patterns of movement and interconnectedness within and between cultural, economic and political systems from a local to global scale.",9.3.15.7,"Describe the effects of sovereignty, nationalism and supranationalism on the establishment of political boundaries and economic activities."
9,3. Geography,"15. Human Systems: Analyze patterns of movement and interconnectedness within and between cultural, economic and political systems from a local to global scale.",9.3.15.8,"Analyze the impact of colonialism, from multiple perspectives, on the emergence of independent states and the tensions that arise when the boundaries of political units do not correspond to the nationalities or ethnicities of the people living within them."
9,3. Geography,"16. Human-Environment Interaction: Evaluate the relationship between humans and the environment, including climate change.",9.3.16.1,Ask spatial questions and acquire geospatial sources to investigate the relationship between the environment and human activities and the impacts of climate change.
9,3. Geography,"16. Human-Environment Interaction: Evaluate the relationship between humans and the environment, including climate change.",9.3.16.2,Analyze patterns of production and consumption of energy and the impact it has on climate change.
9,3. Geography,"16. Human-Environment Interaction: Evaluate the relationship between humans and the environment, including climate change.",9.3.16.3,Design an action plan to address the disproportionate impacts of environment issues and climate change on different communities from local to national scales.
9,3. Geography,17. Culture: Investigate how sense of place is impacted by different cultural perspectives.,9.3.17.1,"Investigate one's multiple identities based on location, place, culture and in relation to others."
9,3. Geography,17. Culture: Investigate how sense of place is impacted by different cultural perspectives.,9.3.17.2,Analyze how sense of place has changed over time and how people are reclaiming their sense of place.
9,3. Geography,17. Culture: Investigate how sense of place is impacted by different cultural perspectives.,9.3.17.3,"Explain the social construction of race and how it was used to oppress people of color. Assess how social policies and economic forces offer privilege or systematic oppressions for racial/ethnic groups related to accessing social, political, economic and spatial opportunities."
9,3. Geography,17. Culture: Investigate how sense of place is impacted by different cultural perspectives.,9.3.17.4,"Evaluate the impact of spatial decisions on policies affecting historically marginalized communities of color and Indigenous nations, and take action to affect policy."
9,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",9.4.18.1,"World History Era 1: Early Human History (250,000 BCE-2,000 BCE) - Evaluate different narratives about how human migration from Africa to other regions in the world led to environmental changes and human adaptation."
9,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",9.4.18.2,"World History Era 2: Cities, Societies and Empires (2,500 BCE-800 CE) - Identify and examine dominant and non-dominant narratives about the development of cities, societies, and empires in Asia, the Americas, and Africa."
9,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",9.4.18.3,"World History Era 3: Interregional Networks and Exchange (700 - 1500) - Evaluate narratives about the creation and influence of trade networks connecting Asia, Europe and Africa."
9,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",9.4.18.4,World History Era 4: The First Global Age (1400-1800) - Identify and evaluate dominant and non-dominant narratives about the first global age.
9,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",9.4.18.5,"World History Era 5: Revolutions, Empires and Nations (1750-1900) - Evaluate conflicting narratives about the causes and the regional and global impact of the Industrial Revolution."
9,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",9.4.18.6,World History Era 6: The New Global Era (1900-Present) - Examine conflicting narratives about the past and identify how these narratives can lead to global conflict.
9,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",9.4.18.7,World History Era 6: The New Global Era (1900-Present) - Identify how ideas and norms about gender and sexuality have changed over time and how members of the LGBTQ+ community have advocated for gender equality and equity.
9,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",9.4.18.8,U.S. History Era 1: Indigenous Histories - Examine multiple Indigenous narratives about early North American history.
9,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",9.4.18.9,"U.S. History Era 2: Settler Colonialism and Atlantic Slavery - Evaluate European, Indigenous and African diasporic historical narratives about colonialism and slavery."
9,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",9.4.18.10,"U.S. History Era 3: Freedom, Unfreedom and Revolution - Identify and analyze dominant and non-dominant narratives about the American Revolution."
9,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",9.4.18.11,"U.S. History Era 4: Imperial Expansion and Native Dispossession - Evaluate historical narratives about U.S. imperial expansion, native dispossession (specifically Indian Removal), Manifest Destiny and Indigenous perspectives."
9,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",9.4.18.12,"U.S. History Era 5: Slavery, Civil War and Reconstruction - Examine how debates over slavery, freedom and rights during and after the Civil War influenced the status and rights of European immigrants, Mexicans and Mexican Americans, women, Asian Americans and/or Indigenous people in comparison to African Americans."
9,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",9.4.18.13,"U.S. History Era 6: Migration, Imperialism and Inequality - Evaluate historical and contemporary arguments about the relationship between U.S. expansion and migration and the role of the United States as an overseas empire."
9,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",9.4.18.14,"U.S. History Era 7: U.S. and the World - Analyze the connections between nationalism, Fascism, World War II and the Holocaust on a global scale and in the United States."
9,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",9.4.18.15,"U.S. History Era 8: Civil Rights Struggles - Analyze complex and interacting factors within the Long Civil Rights Movement. Identify obstacles to the success of the various civil rights movements, such as Black, Indigenous, women, Latinx American, Asian American and/or Queer rights movements. Identify intersections between the movements. Explain strategies used to overcome the obstacles and the role of key leaders and groups."
9,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",9.4.18.16,U.S. History Era 9: Contested Freedoms - Identify and evaluate how governmental and non-governmental institutions have responded to foreign and domestic terrorism in the United States. Identify and evaluate how those responses have been influenced by xenophobic and Islamophobic perspectives.
9,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",9.4.19.1,"World History Era 1: Early Human History (250,000 BCE-2,000 BCE) - Examine and compare and contrast narratives about human origins developed by different societies. Analyze how these narratives embed social values and concepts."
9,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",9.4.19.2,"World History Era 2: Cities, Societies and Empires (2,500 BCE-800 CE) - Analyze the emergence, development and impact of multiple religions and philosophies from at least three different regions, including Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
9,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",9.4.19.3,"World History Era 3: Interregional Networks and Exchange (700-1500) - Identify different historical perspectives about religion, slavery, feudalism and disease in Europe and the Mediterranean World, including the Ottoman Empire."
9,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",9.4.19.4,"World History Era 4: The First Global Age (1400-1800) - Identify major intellectual, scientific and/or religious developments of the first global age and their influence today."
9,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",9.4.19.5,"World History Era 5: Revolutions, Empires and Nations (1750-1900) - Examine different perspectives about revolutions, imperialism and nation-building, including in Latin America/Caribbean, Asia and Africa."
9,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",9.4.19.6,"World History Era 6: The New Global Era (1900-Present) - Identify major developments in science, medicine and technology. Identify different perspectives about the benefits, dangers and unexpected consequences of these developments for society and the environment."
9,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",9.4.19.7,"U.S. History Era 1: Indigenous Histories - Identify multiple Indigenous concepts of boundary-making and relationship-building with the environment through economic, political and kinship systems."
